Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw,Tournament_Avg_Temp_C,Warm_Cup,Home_Koppen,Home_Climate_Zone,Home_Warm_Climate,Home_Avg_Annual_Temp_C,Away_Koppen,Away_Climate_Zone,Away_Warm_Climate,Away_Avg_Annual_Temp_C,Home_Elo,Away_Elo,Home_Elo_Advantage,Home_Elo_Expected
1938,1938-06-09,France,Toulouse,Group Stage,Cuba,Romania,2,1,0,0,0,Cuba,0,19.48,1,Am,Tropical,1,25.0,Dfb,Continental,0,9.0,1466.3,1496.5,-30.2,0.599
1938,1938-06-09,France,Paris,Group Stage,Switzerland,Germany,4,2,0,0,0,Switzerland,0,19.48,1,Cfb,Temperate,0,6.0,Cfb,Temperate,0,9.0,1509.5,1690.6,-181.1,0.385
1938,1938-06-12,France,Bordeaux,Quarter-final,Brazil,Czechoslovakia,1,1,0,0,0,,1,19.48,1,Am,Tropical,1,25.0,Dfb,Continental,0,8.0,1627.0,1641.6,-14.6,0.62
1938,1938-06-12,France,Lille,Quarter-final,Hungary,Switzerland,2,0,0,0,0,Hungary,0,19.48,1,Cfb,Temperate,0,10.0,Cfb,Temperate,0,6.0,1767.0,1584.6,182.4,0.836
1938,1938-06-12,France,Colombes,Quarter-final,Italy,France,3,1,0,0,0,Italy,0,19.48,1,Csa,Temperate,1,14.0,Cfb,Temperate,0,11.5,1884.4,1496.8,387.5,0.943
1938,1938-06-12,France,Antibes,Quarter-final,Sweden,Cuba,8,0,0,0,0,Sweden,0,19.48,1,Dfc,Continental,0,3.0,Am,Tropical,1,25.0,1521.8,1490.3,31.4,0.681
1938,1938-06-14,France,Bordeaux,Group Stage,Brazil,Czechoslovakia,2,1,0,0,0,Brazil,0,19.48,1,Am,Tropical,1,25.0,Dfb,Continental,0,8.0,1619.7,1648.8,-29.1,0.601
1938,1938-06-16,France,Paris,Semi-final,Hungary,Sweden,5,1,0,0,0,Hungary,0,19.48,1,Cfb,Temperate,0,10.0,Dfc,Continental,0,3.0,1781.8,1610.5,171.3,0.827
1938,1938-06-16,France,Marseille,Semi-final,Italy,Brazil,2,1,0,0,0,Italy,0,19.48,1,Csa,Temperate,1,14.0,Am,Tropical,1,25.0,1898.8,1643.7,255.1,0.885
1938,1938-06-19,France,Bordeaux,Third place play-off,Brazil,Sweden,4,2,0,0,0,Brazil,0,19.48,1,Am,Tropical,1,25.0,Dfc,Continental,0,3.0,1626.3,1591.0,35.3,0.685
1938,1938-06-19,France,Paris,Final,Italy,Hungary,4,2,0,0,0,Italy,0,19.48,1,Csa,Temperate,1,14.0,Cfb,Temperate,0,10.0,1916.2,1801.3,114.9,0.775
